round,home_team,away_team,date,time,stadium,ticket_open_date,ticket_open_time,ticket_url,ticket_channel,status
1,成都蓉城,深圳新鹏城,3月6日,19:35,五粮液文化体育中心专业足球场,3月4日,14:00,#小程序://成都蓉城足球俱乐部/0hESsal12mzvAIb,成都蓉城足球俱乐部 小程序,Scheduled
1,天津津门虎,重庆铜梁龙,3月7日,15:30,天津泰达足球场,3月1日,12:00,#小程序://看个比赛/aiS01aiJbiOA2Pw,看个比赛 小程序,Scheduled
1,山东泰山,辽宁铁人,3月7日,15:30,济南奥体中心体育场,3月2日,10:00,#小程序://票星球/tqSubA72dpQCW1e,票星球 小程序,Scheduled
1,上海申花,大连英博海发,3月7日,17:00,上海体育场,3月1日,10:00,#小程序://久事体育/uQNbsP13OcXMqpB,久事体育 小程序,Scheduled
1,上海海港,河南俱乐部,3月7日,19:35,上汽浦东足球场,2月28日,12:00,https://m.damai.cn/shows/item.html?itemId=1023685477015,大麦 APP,Scheduled
1,云南玉昆,青岛海牛,3月7日,19:35,云南玉溪高原体育运动中心体育场,3月2日,12:30,#小程序://云南玉昆足球俱乐部/dAlcPlNWOffdJZf,云南玉昆足球俱乐部 小程序,Scheduled
1,浙江俱乐部,青岛西海岸,3月8日,15:30,浙江黄龙体育中心体育场,3月3日,12:00,https://m.damai.cn/shows/item.html?itemId=1023455727147,大麦 APP,Scheduled
1,武汉三镇,北京国安,3月8日,19:00,武汉体育中心体育场,3月5日,16:00,#小程序://武汉三镇/0VDg05dbZOAfpII,武汉三镇足球俱乐部 小程序,Scheduled
2,武汉三镇,大连英博海发,3月13日,19:35,武汉体育中心体育场,,,,,Scheduled
2,山东泰山,北京国安,3月14日,15:30,济南奥体中心体育场,3月9日,10:00,#小程序://票星球/tqSubA72dpQCW1e,票星球 小程序,Scheduled
2,浙江俱乐部,上海申花,3月14日,15:30,浙江黄龙体育中心体育场,,,,,Scheduled
2,重庆铜梁龙,辽宁铁人,3月14日,19:35,重庆龙兴足球场,,,,,Scheduled
2,深圳新鹏城,天津津门虎,3月14日,20:00,深圳市体育中心体育场,,,,,Scheduled
2,河南俱乐部,云南玉昆,3月15日,15:30,郑州航海体育场,,,,,Scheduled
2,上海海港,青岛西海岸,3月15日,19:00,上汽浦东足球场,3月9日,12:00,https://m.damai.cn/shows/item.html?itemId=1023685477015,大麦 APP,Scheduled
2,成都蓉城,青岛海牛,3月15日,19:35,五粮液文化体育中心专业足球场,,,,,Scheduled
3,大连英博海发,上海海港,3月20日,19:00,大连梭鱼湾足球场,,,,,Scheduled
3,青岛海牛,浙江俱乐部,3月20日,19:35,青岛青春足球场,,,,,Scheduled
3,北京国安,上海申花,3月21日,15:30,北京工人体育场,,,,,Scheduled
3,辽宁铁人,天津津门虎,3月21日,15:30,沈阳铁西体育场,,,,,Scheduled
3,河南俱乐部,武汉三镇,3月21日,19:00,郑州航海体育场,,,,,Scheduled
